business_scale,risk_exposure,data_type,potential_loss,annual_revenue,compliance_requirements,premium
Large,Low,Sensitive,3970259,19875604,no,10939
Small,High,Sensitive,2633647,7755553,no,8211
Small,Medium,Sensitive,3048292,19889892,no,6469
Large,Low,Non-sensitive,1746703,8488722,yes,8312
Medium,High,Non-sensitive,4769849,11325272,yes,6134
Medium,Medium,Sensitive,3996476,13639311,no,10603
Large,Medium,Sensitive,1867215,4316732,no,5855
Medium,Low,Sensitive,453419,10616770,yes,7689
Large,High,Sensitive,720697,18252627,no,5679
Small,High,Sensitive,1708698,10454177,no,10125
Small,High,Sensitive,4055578,19582152,no,13096
Small,High,Non-sensitive,4086657,14385759,yes,9851
Large,Medium,Sensitive,3869036,14839980,yes,4779
Small,High,Non-sensitive,2003626,14136318,yes,9979
Small,Low,Sensitive,4718315,15313238,yes,8355
Small,Medium,Sensitive,1545296,17542349,yes,11671
Large,Medium,Non-sensitive,3345757,14259088,yes,5904
Small,High,Non-sensitive,3963276,4197983,yes,8471
Large,High,Sensitive,1146239,17397813,no,13885
Large,High,Sensitive,3022315,5277070,no,9221
Small,Low,Sensitive,2365987,17184501,no,3012
Medium,High,Sensitive,3469339,5355547,no,14173
Small,High,Non-sensitive,2361423,2196938,yes,6477
Medium,Medium,Non-sensitive,4298373,19289823,no,6986
Large,Low,Non-sensitive,2559073,19644932,yes,9669
Small,High,Sensitive,2350844,7893212,no,13740
Large,Low,Sensitive,4353384,4526299,no,3157
Medium,Medium,Sensitive,504234,19480862,yes,8349
Small,Medium,Sensitive,403973,9091588,no,11939
Large,Low,Non-sensitive,600039,13453201,yes,4037
Small,Low,Sensitive,3938686,6275964,no,3786
Medium,High,Sensitive,1416182,17467437,no,3101
Medium,High,Non-sensitive,4064059,1567829,no,11915
Small,Medium,Sensitive,3584660,8541709,yes,8776
Medium,High,Non-sensitive,2659504,1312938,yes,10466
Large,High,Sensitive,1682303,14430291,no,5145
Small,Low,Non-sensitive,1358024,8943822,no,3318
Medium,High,Non-sensitive,2957520,3162974,no,3166
Medium,Medium,Non-sensitive,2971688,12128306,no,9118
Large,High,Non-sensitive,1063435,18800454,no,3263
Medium,High,Non-sensitive,2568505,4294008,yes,12070
Large,Medium,Non-sensitive,1042366,17782505,no,10494
Medium,Low,Sensitive,1165367,14144682,yes,4185
Medium,High,Sensitive,2376326,1707738,yes,6649
Small,Medium,Sensitive,2159048,15737402,no,8247
Large,High,Sensitive,2271195,2249011,no,8742
Large,Low,Sensitive,945942,19742830,yes,10578
Large,Low,Sensitive,2478949,16076089,no,6907
Large,High,Non-sensitive,3471710,15448699,no,6497
Large,Low,Sensitive,3219606,9982896,yes,6662
Medium,Medium,Non-sensitive,2225605,18229653,yes,4496
Medium,Medium,Sensitive,996878,14561506,no,3049
Large,Low,Non-sensitive,4898831,10026061,no,6492
Medium,Medium,Sensitive,3818252,11060844,yes,12980
Small,Low,Sensitive,1025225,18012597,yes,14607
Small,Medium,Non-sensitive,1987808,11400342,no,8165
Small,Medium,Sensitive,2496147,4705649,no,3482
Large,Low,Non-sensitive,2099323,6423927,yes,6868
Medium,High,Sensitive,1160035,6673215,yes,14191
Small,Medium,Non-sensitive,3102105,11826748,yes,13243
Medium,Medium,Sensitive,1323879,14599544,yes,14258
Small,Medium,Non-sensitive,1734519,13272541,yes,6881
Medium,Low,Non-sensitive,2085189,10295692,yes,13461
Medium,Medium,Sensitive,68778,6345208,yes,13765
Small,Medium,Non-sensitive,1489156,16075437,yes,3999
Small,Low,Sensitive,1902160,6343548,yes,7853
Large,High,Sensitive,344514,15027512,no,12776
Large,High,Sensitive,4881549,19687511,no,3751
Large,Medium,Sensitive,4334815,16400156,yes,7504
Large,Low,Non-sensitive,1584121,17104954,no,14646
Small,Medium,Sensitive,2307821,15578200,no,13247
Large,Low,Sensitive,4401375,5277561,yes,9516
Small,Medium,Sensitive,3830288,11150399,yes,7721
Medium,Low,Non-sensitive,4235852,5753835,yes,5836
Large,High,Non-sensitive,151970,6114122,no,8497
Small,Medium,Non-sensitive,870804,17416180,yes,6910
Medium,Medium,Non-sensitive,3753116,18368521,no,8260
Small,Medium,Sensitive,4784857,16086420,yes,3818
Medium,Medium,Non-sensitive,526978,16068870,yes,7594
Large,Low,Sensitive,3700718,10548055,no,3196
Medium,High,Non-sensitive,973226,18642362,no,3482
Large,Low,Sensitive,4452608,9403403,yes,6097
Medium,Low,Sensitive,1363064,13847810,no,4412
Small,High,Non-sensitive,792099,6037862,yes,13522
Medium,Low,Sensitive,3245549,10458562,no,9825
Small,High,Sensitive,1124786,12211644,yes,8906
Medium,Medium,Sensitive,4815289,4861102,no,3974
Small,Medium,Sensitive,1998814,3125129,no,6364
Medium,High,Non-sensitive,3780414,1595764,yes,13921
Medium,Low,Non-sensitive,3931905,8257253,no,13386
Medium,Low,Sensitive,1283100,19725319,yes,14330
Large,Medium,Sensitive,2966941,5160076,yes,10449
Small,High,Sensitive,3584062,14059422,yes,4428
Small,High,Sensitive,2944774,4960900,yes,10629
Large,Low,Non-sensitive,4153928,18594688,yes,11401
Small,High,Sensitive,977821,19868420,no,4590
Small,High,Sensitive,3014017,5146830,yes,8049
Small,Low,Non-sensitive,1984258,6969251,no,11020
Large,Medium,Non-sensitive,1442036,2441050,no,13590
Large,High,Non-sensitive,2797475,11323875,yes,10043
Small,Medium,Non-sensitive,1702527,18174627,no,4684
Medium,Low,Non-sensitive,4849234,1862856,yes,14476
Large,Low,Sensitive,2511382,1902356,no,3294
Large,Low,Non-sensitive,3868049,14208041,yes,4826
Small,High,Non-sensitive,4795642,12520582,yes,13145
Large,High,Sensitive,1386544,11433128,no,12787
Large,Medium,Non-sensitive,3992329,15037090,yes,9925
Medium,Low,Sensitive,100103,17530604,no,14988
Small,Medium,Non-sensitive,2569539,2445320,yes,14350
Small,Medium,Non-sensitive,3671385,9017579,no,14782
Large,High,Sensitive,2680479,15830894,yes,13335
Large,High,Non-sensitive,1140112,19450969,yes,5075
Medium,Low,Non-sensitive,4628294,15911924,yes,8565
Large,Medium,Non-sensitive,3114398,14096860,yes,14204
Large,High,Non-sensitive,3600436,4543891,yes,13395
Small,High,Non-sensitive,669922,15386569,yes,4315
Large,Low,Sensitive,4445269,17087184,yes,14977
Medium,Medium,Sensitive,3151673,3710625,no,9865
Medium,Medium,Non-sensitive,1098670,1240072,no,8584
Small,Low,Sensitive,696771,13618808,no,3940
Medium,Medium,Non-sensitive,4605123,14489788,no,8330
Small,High,Sensitive,3861408,9818072,yes,12280
Large,Low,Sensitive,997968,5423997,no,3909
Medium,High,Non-sensitive,702209,19318809,no,3767
Large,Low,Sensitive,335837,15321029,no,13290
Medium,Medium,Non-sensitive,3633420,3375978,no,14951
Small,Low,Non-sensitive,51623,4072036,no,4776
Medium,Low,Sensitive,258341,11189522,no,10443
Small,Medium,Non-sensitive,4701754,2660582,yes,9713
Medium,Medium,Sensitive,4487932,8899513,yes,3043
Medium,High,Sensitive,1177749,9840092,no,11582
Large,Low,Sensitive,4649135,3580960,yes,3906
Medium,High,Sensitive,2937403,13571394,no,13851
Medium,High,Sensitive,4136652,15529556,yes,5310
Large,High,Sensitive,1593180,15873551,no,3025
Small,Medium,Non-sensitive,162646,5327484,yes,8279
Large,High,Non-sensitive,2310708,14359624,no,8709
Medium,Medium,Sensitive,519904,3757128,no,7375
Medium,Low,Non-sensitive,1428367,19735878,yes,10320
Large,Low,Sensitive,406289,9149837,no,7986
Large,High,Sensitive,2906239,15440026,yes,9594
Small,Medium,Non-sensitive,135754,5699020,no,9886
Medium,Medium,Non-sensitive,2135536,13838601,no,12483
Small,Low,Non-sensitive,4283445,6784568,yes,3158
Medium,High,Sensitive,150577,14637460,yes,12596
Small,Medium,Sensitive,2061213,8290343,no,8342
Large,Low,Sensitive,4621377,8212447,yes,10646
Small,Medium,Non-sensitive,2499802,14761961,no,10846
Small,High,Sensitive,2745006,11290289,no,7569
Large,Low,Sensitive,3397304,12742480,yes,13886
Small,Low,Non-sensitive,1103040,9410910,no,11158
Medium,Medium,Non-sensitive,4460484,5789582,no,8610
Small,Low,Sensitive,1766097,9524906,yes,8232
Large,Low,Sensitive,2851818,14954431,no,3615
Medium,Medium,Sensitive,2492437,7327211,no,13251
Small,Low,Non-sensitive,4613151,18459528,no,11875
Small,High,Sensitive,2964976,14511700,yes,9990
Medium,Low,Non-sensitive,737541,18496802,yes,9118
Large,High,Sensitive,3803705,16319114,no,3848
Large,High,Sensitive,3599364,14654669,no,9051
Large,Medium,Sensitive,3037696,8467172,no,4463
Small,High,Non-sensitive,3274255,18712770,no,9411
Large,Low,Sensitive,1518645,19664632,yes,6711
Large,High,Non-sensitive,2235754,4395433,yes,4207
Small,Medium,Non-sensitive,3234904,2425891,yes,8664
Medium,High,Non-sensitive,2381005,14869237,yes,7329
Small,Medium,Sensitive,4198691,19451332,yes,5888
Small,Low,Non-sensitive,2613973,2905618,yes,6926
Large,Medium,Non-sensitive,4439689,14202833,no,7843
Medium,Low,Sensitive,2587765,11167838,yes,6036
Medium,Low,Non-sensitive,3201404,19363743,yes,13349
Large,High,Sensitive,204195,16509865,no,13585
Medium,Medium,Non-sensitive,4758475,19494734,no,12611
Small,High,Sensitive,1970557,14705742,no,8228
Large,Medium,Non-sensitive,1217313,7975385,yes,7140
Large,High,Sensitive,1838847,16007259,yes,8138
Medium,High,Non-sensitive,2383160,19418837,no,4571
Large,High,Sensitive,2675646,18870542,yes,4682
Small,Medium,Non-sensitive,526503,7164804,yes,6693
Medium,High,Non-sensitive,3681306,5088080,yes,12487
Large,Low,Sensitive,4358744,8960056,no,11259
Large,High,Non-sensitive,2867420,19498435,no,6181
Large,High,Sensitive,3924334,17432857,yes,3469
Small,Medium,Non-sensitive,3904177,5629692,no,8712
Medium,Medium,Sensitive,1261748,5327776,yes,11147
Medium,Low,Non-sensitive,545907,5527480,no,9735
Small,High,Non-sensitive,4857131,7220579,no,4227
Medium,Low,Sensitive,4789572,10283747,yes,7870
Large,High,Non-sensitive,1240339,5124734,yes,3416
Large,Medium,Non-sensitive,1101165,15915313,no,13130
Medium,High,Sensitive,291900,3390196,no,9454
Large,Medium,Non-sensitive,3949629,4556100,no,3675
Large,Low,Non-sensitive,140531,13124843,no,4690
Small,Medium,Sensitive,3303696,9205534,yes,9161
Small,Low,Non-sensitive,628900,2381095,yes,12929
Large,High,Non-sensitive,1189852,14857716,no,4938
Medium,Low,Sensitive,3392137,17515080,no,13176
Medium,Low,Non-sensitive,1388899,8595562,no,12333
Large,High,Sensitive,4634529,18235553,yes,6792
Medium,Low,Sensitive,4198305,2104239,no,9207
Medium,High,Non-sensitive,1793538,18161723,yes,12691
Medium,Low,Sensitive,4727332,17029426,yes,6011
Medium,Medium,Non-sensitive,411434,14616952,yes,14307
Small,Medium,Sensitive,2995044,1538343,yes,14355
Small,Low,Non-sensitive,1039788,6961596,yes,12313
Large,High,Sensitive,2027772,15052211,no,5077
Medium,Medium,Non-sensitive,1639189,12605001,yes,8895
Medium,Low,Non-sensitive,2499949,13288767,no,3241
Small,Medium,Sensitive,594519,8104485,no,8409
Large,Medium,Non-sensitive,4400780,10307686,no,12896
Large,High,Non-sensitive,2050044,4161618,no,14246
Medium,Low,Sensitive,3217815,7083517,yes,4665
Large,Low,Sensitive,3648957,9501224,no,14112
Medium,High,Sensitive,1576400,11948990,no,13964
Large,High,Sensitive,2622490,12553969,no,5658
Medium,Medium,Non-sensitive,2850349,5766869,yes,8890
Small,High,Non-sensitive,1457217,7398912,yes,6043
Small,Low,Sensitive,875330,14600039,no,8862
Large,Medium,Non-sensitive,3779115,15414787,yes,8053
Large,High,Sensitive,2714811,13033837,yes,6539
Medium,High,Non-sensitive,4104658,16354685,yes,12901
Medium,High,Non-sensitive,1973361,11973439,no,5610
Large,High,Sensitive,88559,8527515,no,14749
Small,Medium,Sensitive,748814,15851987,yes,12605
Medium,Low,Non-sensitive,3561226,14250130,yes,9298
Small,High,Sensitive,1494042,3066346,no,8484
Large,Medium,Non-sensitive,2358488,3811952,no,9229
Small,High,Non-sensitive,2707533,19505926,yes,12797
Large,Low,Non-sensitive,476911,10012757,yes,14668
Large,Low,Sensitive,2883540,15842464,no,4667
Medium,Low,Sensitive,2327113,18746089,no,4984
Large,Medium,Non-sensitive,3221352,6568263,yes,7656
Medium,Medium,Sensitive,404895,16300506,no,5233
Small,Low,Sensitive,2860098,6644775,no,7611
Large,Low,Sensitive,4163118,8050176,no,8502
Medium,High,Non-sensitive,1530246,2368844,no,11515
Small,Low,Non-sensitive,776631,15113772,no,6013
Medium,Medium,Non-sensitive,2382923,8748495,no,8259
Large,Medium,Non-sensitive,4686177,6241802,yes,7751
Large,High,Sensitive,3896730,9172430,yes,12317
Medium,High,Non-sensitive,3665707,8208671,yes,9412
Medium,Medium,Sensitive,4267795,11186099,no,7407
Small,Medium,Sensitive,1628359,6355580,no,13694
Medium,Low,Non-sensitive,2722309,9062360,yes,9807
Medium,High,Sensitive,4151588,5543156,no,5582
Medium,High,Non-sensitive,1408617,11773720,no,3407
Small,Medium,Sensitive,4633489,19457123,no,7228
Large,Medium,Non-sensitive,2932539,19737998,no,5304
Large,Medium,Non-sensitive,1260263,3125684,no,6222
Medium,Medium,Sensitive,2660808,11653064,no,5218
Medium,High,Sensitive,2221841,17003200,yes,11449
Small,Medium,Sensitive,1214517,3197123,yes,13890
Medium,High,Sensitive,3779479,2223004,no,11708
Small,Medium,Non-sensitive,4755183,14798296,no,4008
Medium,High,Sensitive,2173823,3399908,yes,7431
Small,High,Sensitive,2997656,16720434,yes,6451
Small,High,Non-sensitive,4402463,11733350,no,8792
Small,Medium,Non-sensitive,135743,6412511,no,6428
Large,Low,Sensitive,2230281,8390807,no,8634
Small,Medium,Non-sensitive,3616703,19972331,no,3518
Small,Low,Sensitive,1143552,5473117,no,6254
Large,High,Non-sensitive,2720775,16775119,no,14294
Medium,High,Sensitive,2097388,4803453,yes,9716
Medium,Medium,Non-sensitive,415504,10066581,yes,4178
Medium,High,Non-sensitive,4355241,19559251,yes,9369
Large,Medium,Sensitive,1676136,10095173,no,3578
Medium,High,Non-sensitive,4026673,11566881,no,7562
Small,Medium,Sensitive,1871587,16942946,yes,6514
Small,Low,Sensitive,118987,9326682,no,12543
Medium,High,Sensitive,1405530,15569554,no,12044
Small,Low,Sensitive,449954,7819533,no,3441
Medium,Low,Sensitive,2554109,10753024,no,13497
Small,High,Sensitive,3261403,5368938,no,13828
Small,High,Sensitive,1934124,10656199,yes,11572
Large,Low,Sensitive,3821640,11805462,no,11613
Small,Low,Sensitive,499092,4716262,yes,14907
Medium,High,Non-sensitive,447057,16979625,yes,5372
Medium,Medium,Non-sensitive,4184598,3536255,no,13005
Medium,Low,Non-sensitive,4031171,6399541,yes,6026
Large,Medium,Sensitive,71353,5180422,no,8553
Large,Low,Sensitive,2954160,9509983,yes,3836
Small,Low,Non-sensitive,4822426,6025758,no,4477
Medium,Medium,Sensitive,1893869,12267989,yes,6485
Small,Low,Sensitive,4118680,18766695,yes,10129
Small,Low,Non-sensitive,561031,16391263,yes,4006
Medium,Medium,Non-sensitive,3957395,15245718,yes,5974
Large,Low,Sensitive,172216,18286057,no,3740
Large,Low,Sensitive,4458498,12474625,yes,4493
Small,Medium,Non-sensitive,1241708,2668193,no,14353
Large,Low,Non-sensitive,2744209,12274218,no,7312
Small,Medium,Sensitive,3266650,15305032,yes,9759
Small,Low,Sensitive,4739172,3590451,no,7712
Large,Low,Sensitive,681037,6226325,yes,12559
Small,Low,Non-sensitive,3272209,16715093,no,10785
Small,Medium,Sensitive,1233252,7716563,no,5818
Large,Low,Non-sensitive,89691,14749628,no,4134
Large,High,Sensitive,3771986,7084678,no,6273
Small,Low,Non-sensitive,564788,12702903,yes,9435
Large,Medium,Non-sensitive,3350161,4427482,no,10190
Large,Low,Non-sensitive,2193228,10621566,no,9282
Small,Low,Non-sensitive,831846,12009665,no,11043
Large,Low,Non-sensitive,2249726,13285025,no,11231
Small,Medium,Sensitive,386609,18765528,no,11473
Medium,High,Non-sensitive,3841794,1747807,no,3520
Small,High,Non-sensitive,1372727,15833935,yes,7020
Small,Medium,Sensitive,2359435,1979128,no,3217
Small,High,Sensitive,984723,18682275,no,14689
Small,Medium,Non-sensitive,2943323,3634801,yes,9693
Medium,Low,Non-sensitive,3320386,6366942,yes,10222
Large,Low,Non-sensitive,1633780,18188852,yes,7578
Large,High,Sensitive,615681,14498202,no,9770
Large,Low,Non-sensitive,2562924,12468601,no,10468
Small,High,Sensitive,4225517,14830374,yes,14908
Small,Low,Non-sensitive,2154347,3782667,yes,4232
Small,High,Sensitive,1174650,10118233,yes,8421
Medium,High,Sensitive,4986786,1763352,no,12661
Medium,Low,Sensitive,4212048,15918170,no,6602
Small,High,Non-sensitive,1376768,19043838,no,9974
Medium,High,Sensitive,3078253,12789482,no,3434
Medium,High,Sensitive,476887,18569314,no,4331
Medium,Medium,Non-sensitive,2465330,5670533,yes,13921
Small,High,Sensitive,2332678,18787440,yes,9114
Large,Medium,Non-sensitive,1908577,2005867,no,13451
Large,High,Sensitive,2494635,15531261,no,5944
Medium,High,Non-sensitive,4763548,12650107,yes,12543
Small,High,Non-sensitive,1605085,5527985,yes,14474
Large,Low,Sensitive,235409,7640917,yes,3145
Medium,High,Non-sensitive,4883786,9511680,yes,5779
Large,Low,Non-sensitive,4529049,10498574,yes,14816
Large,Low,Non-sensitive,3380017,2553791,no,11729
Medium,Low,Sensitive,2748866,5569581,no,11333
Small,Medium,Non-sensitive,2099824,1422327,no,9218
Large,Medium,Sensitive,3245757,4774860,yes,4548
Small,Medium,Non-sensitive,756563,14950764,no,6910
Small,Low,Non-sensitive,850675,3508252,no,14823
Large,Low,Sensitive,305213,9949581,no,14850
Medium,Low,Non-sensitive,1474332,18309399,no,11470
Medium,High,Non-sensitive,909548,9800702,yes,10407
Medium,High,Sensitive,4405815,13086541,no,13106
Medium,Low,Sensitive,3617895,5738032,yes,10024
Small,Low,Non-sensitive,3581380,9094006,yes,8713
Large,High,Sensitive,4914443,15457022,yes,8470
Large,Low,Sensitive,4197702,17774581,no,8263
Small,High,Non-sensitive,663420,2729502,yes,5894
Medium,Medium,Non-sensitive,737725,7097891,no,8626
Large,High,Non-sensitive,4448170,10956244,no,12314
Medium,Medium,Sensitive,1665124,6489961,yes,11176
Small,Low,Sensitive,4505451,18549987,yes,6960
Small,Medium,Non-sensitive,830109,4593523,no,7453
Medium,Medium,Non-sensitive,1313159,6354380,no,3305
Medium,Medium,Non-sensitive,1014881,12356034,yes,10518
Small,High,Non-sensitive,3690484,17963242,no,10631
Small,Medium,Sensitive,935955,10803358,yes,14340
Medium,Medium,Sensitive,4832119,16190293,yes,12556
Medium,High,Sensitive,2341319,18367894,yes,12690
Large,High,Sensitive,2548486,13310615,no,11900
Small,Low,Sensitive,3242654,11410876,yes,14383
Large,High,Sensitive,309271,19401894,yes,7777
Large,Low,Sensitive,1112943,4785438,yes,5925
Medium,Medium,Non-sensitive,4970930,11290841,no,14166
Small,Low,Sensitive,3598093,9790280,no,11170
Medium,Low,Non-sensitive,2813629,4191232,yes,6622
Large,Low,Non-sensitive,3221896,7525544,no,10705
Small,High,Non-sensitive,3871064,14397432,no,6913
Medium,Medium,Sensitive,1217299,17057776,no,14971
Small,High,Non-sensitive,1962770,3023613,yes,3719
Small,Medium,Non-sensitive,1182274,6527568,no,10109
Small,Medium,Non-sensitive,872612,13402297,yes,3315
Large,Medium,Sensitive,290082,4497832,no,6575
Large,Medium,Sensitive,3688157,15584081,no,11648
Large,High,Sensitive,1512601,10722832,yes,7871
Large,Low,Non-sensitive,4024852,4724446,no,10725
Medium,Medium,Non-sensitive,1734105,7622482,yes,13705
Medium,High,Non-sensitive,2165894,5070775,yes,13791
Small,High,Sensitive,4633757,6338463,no,8325
Small,High,Non-sensitive,1623034,2717496,yes,9197
Small,High,Non-sensitive,4674904,13672306,no,12437
Large,Low,Sensitive,1987711,3843299,no,10507
Medium,Low,Sensitive,380712,17653599,no,8688
Small,Medium,Sensitive,4121817,7266060,no,11316
